store_id,name_nagoya,catch,star,review,pop_score,price_lunch,price_dinner,address,link_detail
23047494,うなぎ料理 澤正,"
              【伏見駅徒歩3分・駐車場有】棋聖戦勝負飯に選ばれた、芸能人や著名人もお忍びで通う名店
            ",3.54,315,20.37532743609767,3000.0,4000.0," 伏見駅 286m / うなぎ、日本料理、海鮮
            ",https://tabelog.com/aichi/A2301/A230102/23047494/
23056889,うなぎのしろむら,"
              【上質な和空間で楽しむ、唯一無二の鰻料理】旬を楽しむ日本料理や日本酒と。個室有で歓送迎会も
            ",3.6,506,22.42263961292826,4000.0,5000.0," 久屋大通駅 381m / うなぎ、日本料理、海鮮
            ",https://tabelog.com/aichi/A2301/A230103/23056889/
23067466,うなぎ家 しば福や,"
              伝統を引き継ぎ、革新を重ねて焼き上げる絶品の鰻
            ",3.73,1157,26.313097224835868,4000.0,5000.0," 国際センター駅 353m / うなぎ
            ",https://tabelog.com/aichi/A2301/A230101/23067466/
23000144,うなぎの新甫,"
              【池下駅徒歩5分】ふわふわに焼き上げた鰻と伝承のたれが絡む。名古屋で人気の老舗うなぎ専門店
            ",3.46,194,18.244578472630565,3000.0,4000.0," 池下駅 260m / うなぎ、海鮮、日本料理
            ",https://tabelog.com/aichi/A2301/A230106/23000144/
23085530,炭火焼 鰻のうな輝 名古屋本店,"
              ６月１５日は父の日！うな輝自慢の鰻や会席、一品料理を御笑味下さい。
            ",3.3,63,13.724314175086915,4000.0,5000.0," 伏見駅 348m / うなぎ、海鮮
            ",https://tabelog.com/aichi/A2301/A230102/23085530/
23066002,鰻う おか冨士,"
              【伏見駅 徒歩3分】名店「うな富士」を正統継承する当店。初の暖簾分け！伝統の味を当店でも。
            ",3.69,1099,25.841311542922043,4000.0,6000.0," 伏見駅 186m / うなぎ、海鮮
            ",https://tabelog.com/aichi/A2301/A230102/23066002/
23001045,しら河 浄心本店,"
              浄心駅2分。ひつまぶし・うな重はもちろん、一品料理も絶品！ゆったり食事を楽しめる個室も完備
            ",3.58,721,23.56364999723632,3000.0,3000.0," 浄心駅 109m / うなぎ、日本料理
            ",https://tabelog.com/aichi/A2301/A230109/23001045/
23089010,昼だけうなぎ屋 今池店,"
              今池駅から徒歩1分！みんなと大衆価格を約束した昼3時間半だけの鰻屋さん！
            ",3.53,100,16.291375424449647,2000.0,," 今池駅 171m / うなぎ
            ",https://tabelog.com/aichi/A2301/A230106/23089010/
23086299,うなぎ料理 うな和 泉店,"
              【久屋大通1A出口から徒歩6分】厳選されたうなぎとたまり醬油と組み合わせた絶妙なタレを堪能
            ",3.37,52,13.379883748670652,3000.0,4000.0," 久屋大通駅 409m / うなぎ、居酒屋、日本料理
            ",https://tabelog.com/aichi/A2301/A230103/23086299/
23059269,鰻 ななつぼし,"
              鰻・かしわ
            ",3.25,39,11.988858225870294,3000.0,4000.0," 一社駅 230m / うなぎ、鳥料理、居酒屋
            ",https://tabelog.com/aichi/A2301/A230111/23059269/
